Title,Author,CallNo,AccNo,
A beginner's guide to discrete mathematics,"Wallis, W D",004.0151 WAL,231059,
A book on C: programming in c,"Kelley, Al",005.133 KEL,238599,
A companion to environmental thought,"Hay, Peter",333.72 HAY,261224,
"A comparative analysis of complex organizations: on power, involvement and their correlates","Etzioni, Amitai",302.35 ETZ,76088,
A complete book on bachelor of business administration,"Agarwal, P.K.",658.0076 AGA,257643,
A complete book on master of business administration,"Agarwal, P.K.",658.0076 AGA,257642,
A complete reference guide data structures through C,"Agarwal, Ajay",005.73 AGA,233073,
A complete reference guide data structures through C,"Agarwal, Ajay",005.73 AGA,233076,
A comprehensive history of India,"Datta, K. K, ed.",954 COM,150405,
A comprehensive persian - english dictionary: Including the arabic words...........and entirely reconstructed,"Steingass,F",491.55321 STE,297036,
A constitutional history of India: 1600-1935,"Keith, Arthur Berriedale",342.54029 KEI,C11779,
A course in differential geometry and lie groups.,"Kumaresan, S",516.36 KUM,234746,
A course in electrical and electronics measurements and instrumentation,"Sawhney, A. K",621.37 SAW,257633,
"A course in electrical engineering materials: phyjsics, properties and applications","Seth, S. P.",621.3 SET,229958,
A course in microeconomic theory,"Kreps, David M",338.5 KRE,183310,
"A course in power systems: generation and economic considerations, transmission and distribution, switchgear and protection","Gupta, J.B",621.3191 GUP,232095,
A course in workshop technology,"Raghuwanshi, B. S.",670 RAG,133340,
A course of pure mathematics,"Hardy, G. H",510 HAR,284046,
A descriptive account of the colon classification,,025.435 RAN,53177,
A dictionary of economics and commerce,"Hanson, J. L",330.3 HAN,C8234,
A dictionary of electrical engineering,,631.303 ALI,267832,
A dictionary of geography: definitions and explanations of terms used in physical,"Moore, W. G",910.3 MOO,16772,
A dictionary of modern political idiom: English-French-Arabic,"Wahba, Magdi",320.03 WAH,252751,
A dictionary of synonyms,"Soule, Richard",423.1 SOU,117778,
A dictionary of technical terms,"Wilson, R. A",603 WIL,181830,
A first course in abstract algebra,"Fraleigh, John B.",512.02 FRA,205565,
A first course in complex analysis with applications,"Zill, Dennis G.",515.93 ZIL,265328,
A first course in computers,"Jaiswal, S",004 JAI,251286,
A first course in heat transfer,"Venkateshan, S. P.",621.4022 VEN,235013,
A first course in mathematics for engineers,Chandrika Prasad,510 CHA,120511,
A first course in numerical analysis,"Ralston, Anthony",519.4 RAL,98445,
A first course in real analysis,"Protter, Murray H.",515.8 PRO,238673,
A guide to Keynes,"Hansen, Alvin H",330.156 HAN,R77,
A hand book of civil engineering: architecture hand book,"Joseph, S K",624.0202 JOS,234834,
A handbook of practical auditing,"Tandon, B. N",657.45 TAN,183687,
A historical dictionary of Indian food,"Achaya, K.T.",651.59503 ACH,245474,
A history of economic thought,"Roll, Eric",330.1509 ROL,C10543,
A history of education in India: during the British period,Nurullah,370.954 NUR,19203,
A history of experimental psychology,"Boring, Edwin G",150.724 BOR,52985,
A history of Islamic philosophy,"Fakhey, Majid",181.07 FAK,102495,
A history of Muslim philosophy: with short accounts of other disciplines and the modern renaissance in Muslim lands,"Sharif, M. M., ed.",181.07 HIS,145555,
A history of sufism in India,"Rizvi,  Saiyid Athar Abbas",297.40954 RIZ,64949,
A history of Urdu literature,"Sadiq, Muhammad",891.43909 SAD,24044,
A key to holy Quran index-cum-concordance for the holy Quran,Koran,297.12203 KOR,150420,
A laboratory course for programming with JAVA,"Dale, Nell",005.362 DAL,265916,
A life in words: memoirs,Ismat Chughtai,891.43937092 ISM,290350,
A manual of mercantile law: including industrial law,"Shukla, M. C.",346.07 SHU,106649,
A manual of practical zoology chordates,"Verma, P. S",596.0202 VER,191944,
A methodology for social research,"Sjoberg, Gideon",300.72 SJO,60140,
A phonetic and phonological study of the word in Urdu,Masud Husain,491.43915 MAS,42075,
A practical approach to the Arabic language: (a book of grammer & exercises),"Nadwi, Wali Akhtar",492.7 NAD,230433,
A practical guide to disaster management,"Jain, A.K.",363.3406 JAI,257485,
A preface to history,"Gustavson, Carl G",907.2 GUS,6220,
A preface to paradise lost: being the Ballard Matthews lectures,"Lewis, C. S",821.409 LEW,49135,
A preface to the Faeric Queene,"Hough, Graham",821 HOU,138994,
A programmer's guide to JAVA certification: a comprehensive primer,"Mughal, Khalid A..",005.362 MUG,238579,
A room of one's own,"Woolf, Virginia",823.912 WOO,183158,
A scientific theory of culture and other essays,"Malinowski, Bronislaw",306 MAL,45625,
A self-study text business accounting and analysis,"Xavier, G. Francis",657.3 XAV,206676,
A short history of Russia,"Sturley, D. M",947 STU,23131,
